GPU reduction,128,56900
CPU,256,600
GPU atomic,256,22100
GPU reduction,256,60300
CPU,512,1200
GPU atomic,512,22800
GPU reduction,512,71800
CPU,1024,2700
GPU atomic,1024,23600
GPU reduction,1024,79100
CPU,2048,4100
GPU atomic,2048,27700
GPU reduction,2048,81300
CPU,2,300
GPU atomic,2,40300
GPU reduction,2,29600
CPU,4,200
GPU atomic,4,27500
GPU reduction,4,34300
CPU,8,300
GPU atomic,8,23800
GPU reduction,8,37100
CPU,16,300
GPU atomic,16,26700
GPU reduction,16,88200
CPU,32,300
GPU atomic,32,24900
GPU reduction,32,46400
CPU,64,300
GPU atomic,64,22000
GPU reduction,64,69200
CPU,128,500
GPU atomic,128,23400
GPU reduction,128,57200
CPU,256,700
GPU atomic,256,23400
GPU reduction,256,61300
CPU,512,1200
GPU atomic,512,23300
GPU reduction,512,74400
